Candidate,tscore,mi,mi3,mi_log_f,ll,mle,ms,log_dice,avg,norm,opt,label
điều_trị béo,"-0,003747412838","19,10305397","19,10305397","13,241228","10586,13259","0,0000871156024","0,02631578947","15,0000626",,,,0
chế_độ ăn_uống,"0,07635861275","20,24890484","27,41882984","51,93741545","9237,905363","0,001045387229","0,3428571429","18,58496771",,,,1
ăn_uống khoa_học,"0,2495642797","21,07860093","23,07860093","23,15721001","3204,522977","0,0001742312048","0,1333333333","16,00003136",,,,0
chứng_bệnh béo,"-0,0005227315601","23,38845619","23,38845619","16,21164247","727,5517564","0,0000871156024","0,2","15,0000628",,,,0
ăn_uống thoải_mái,"-0,001393963475","21,97341869","21,97341869","15,23081321","3224,358139","0,0000871156024","0,06666666667","15,00006275",,,,0
đánh_bại chứng,"-0,0008712774501","22,21853119","22,21853119","15,40071225","888,2182731","0,0000871156024","0,125","15,00006278",,,,0
chứng béo,"-0,001132806396","21,21853119","21,21853119","14,70756507","1817,449779","0,0000871156024","0,125","15,00006276",,,,0
chuyên_gia cảnh_báo,"-0,0006098547516","23,16606377","23,16606377","16,05749179","1484,339443","0,0000871156024","0,1666666667","15,0000628",,,,0
bữa trưa,"0,1598954176","20,97793417","25,62179036","37,5874122","5538,538125","0,000435578012","0,2083333333","17,32194062",,,,0
bữa tối,"0,2219026162","20,21853119","23,38845619","28,02883578","5569,270068","0,0002613468072","0,125","16,58498338",,,,0
uống đầy_đủ,"-0,002265529312","20,38845619","20,38845619","14,13220092","5306,371013","0,0000871156024","0,04347826087","15,00006269",,,,0
chất dinh_dưỡng,"-0,0009584537655","21,80349369","21,80349369","15,11303018","1817,449779","0,0000871156024","0,125","15,00006277",,,,1
chờ_đợi năng_lượng,"-0,0004356083685","23,6514906","23,6514906","16,39396402","1178,449841","0,0000871156024","0,25","15,00006281",,,,0
năng_lượng nạp,"-0,0002613619855","24,38845619","24,38845619","16,90478965","727,5517564","0,0000871156024","0,5","15,00006282",,,,0
giúp cơ_thể,"-0,004098394838","17,81860058","17,81860058","12,35091276","7202,631599","0,0000871156024","0,03448275862","15,00006258",,,,0
tăng_cường trao_đổi,"0,2498475249","23,0665281","25,0665281","25,34117122","992,170213","0,0001742312048","0,5","16,0000314",,,,0
trao_đổi chất,"0,1874346481","22,38845619","26,38845619","36,03283019","1087,180047","0,0003484624096","0,5","17,00001569",,,,1
đốt cháy,"-0,0001742387939","24,97341869","24,97341869","17,31025476","727,5517564","0,0000871156024",1,"15,00006282",,,,0
cháy hiệu_quả,"-0,001393963475","21,97341869","21,97341869","15,23081321","727,5517564","0,0000871156024","0,06666666667","15,00006275",,,,0
lựa_chọn thực_phẩm,"-0,001394327754","20,6514906","20,6514906","14,31452248","1647,253392","0,0000871156024","0,1111111111","15,00006275",,,,0
bệnh_viện phụ_nữ,"-0,005144829366","17,4815656","17,4815656","12,1172979","3224,358139","0,0000871156024","0,02272727273","15,00006251",,,,0
tiến_hành nghiên_cứu,"-0,007235649359","17,42267191","17,42267191","12,07647591","1995,15439","0,0000871156024","0,01351351351","15,00006238",,,,0
thức dạy,"0,1874237511","22,0665281","26,0665281","35,51470691","1406,098483","0,0003484624096","0,5","17,00001569",,,,0
đi ngủ,"0,1873692602","20,99613877","24,99613877","33,79198175","2116,004831","0,0003484624096","0,2857142857","17,00001567",,,,0
trưa hôm,"-0,0006970158888","22,58110127","22,58110127","15,65202668","1484,339443","0,0000871156024","0,1666666667","15,00006279",,,,0
duy_trì vóc_dáng,"-0,0006098547516","23,16606377","23,16606377","16,05749179","1484,339443","0,0000871156024","0,1666666667","15,0000628",,,,1
vóc_dáng cân_đối,"-0,0001742387939","24,97341869","24,97341869","17,31025476","727,5517564","0,0000871156024",1,"15,00006282",,,,1
căn_bệnh phổ_biến,"-0,001394335343","20,63356869","20,63356869","14,30209996","1817,449779","0,0000871156024","0,125","15,00006275",,,,1
giúp tăng_cường,"-0,002788359531","20,0665281","20,0665281","13,90905737","7202,631599","0,0000871156024","0,03448275862","15,00006266",,,,0
cơ_thể xây_dựng,"-0,00165533305","21,72549118","21,72549118","15,05896296","3945,459488","0,0000871156024","0,05555555556","15,00006273",,,,0
xây_dựng chế_độ,"-0,003136427306","20,80349369","20,80349369","14,419883","727,5517564","0,0000871156024","0,02857142857","15,00006264",,,,0
ăn_uống hợp_lý,"0,2495860871","21,30099335","23,30099335","23,40153305","3204,522977","0,0001742312048","0,1333333333","16,00003136",,,,0
tháp dinh_dưỡng,"-0,000348485177","23,97341869","23,97341869","16,61710757","727,5517564","0,0000871156024","0,3333333333","15,00006281",,,,1
bé sơ_sinh,"0,1597454312","19,30099335","23,94484954","34,5827376","23328,67069","0,000435578012","0,07936507937","17,32194058",,,,1
mẹ bầu,"0,1873039164","20,67421067","24,67421067","33,27385847","7852,700379","0,0003484624096","0,1290322581","17,00001566",,,,1
thức_ăn thừa,"0,2221157223","22,38845619","25,55838119","31,03699057","1428,990139","0,0002613468072","0,5","16,58498342",,,,0
nguy_cơ trẻ,"-0,007418304496","16,11078133","16,11078133","11,16714266","15104,87303","0,0000871156024","0,02083333333","15,00006237",,,,0
trẻ sơ_sinh,"0,1598361103","19,99613877","24,63999496","35,82827099","10120,03911","0,000435578012","0,1351351351","17,32194061",,,,1
bại não,"0,2493465267","21,0665281","23,0665281","23,14394665","839,4298621","0,0001742312048","0,07142857143","16,00003133",,,,1
thói_quen chăm_sóc,"-0,001655727685","20,4815656","20,4815656","14,19673945","1328,31772","0,0000871156024","0,07142857143","15,00006273",,,,0
đa_số phụ_nữ,"-0,004182884602","19,1596375","19,1596375","13,28044871","1178,449841","0,0000871156024","0,02272727273","15,00006257",,,,0
đón bé,"-0,005575876669","19,97341869","19,97341869","13,84451885","727,5517564","0,0000871156024","0,01587301587","15,00006249",,,,0
bé từ_trường,"-0,005575876669","19,97341869","19,97341869","13,84451885","23382,13663","0,0000871156024","0,01587301587","15,00006249",,,,0
hôn bé,"-0,005838657821","18,6514906","18,6514906","12,92822812","1178,449841","0,0000871156024","0,01587301587","15,00006247",,,,0
chúc ngủ,"0,2496514845","21,97341869","23,97341869","24,1402678","839,4298621","0,0001742312048","0,1428571429","16,00003137",,,,0
ngủ ngon,"0,2496078735","21,38845619","23,38845619","23,49762081","2979,479824","0,0001742312048","0,1428571429","16,00003137",,,,0
chuyên_gia khuyên,"-0,0006970158888","22,58110127","22,58110127","15,65202668","1484,339443","0,0000871156024","0,1666666667","15,00006279",,,,0
khuyên phụ_nữ,"-0,004007985554","19,89660309","19,89660309","13,79127434","888,2182731","0,0000871156024","0,02272727273","15,00006258",,,,0
nhà_khoa_học phát_hiện,"-0,002527900652","19,10305397","19,10305397","13,241228","2574,491734","0,0000871156024","0,05882352941","15,00006268",,,,0
phát_hiện bé,"-0,006977376149","16,80349369","16,80349369","11,64729427","3697,153701","0,0000871156024","0,01587301587","15,0000624",,,,0
bụng mẹ,"0,1223760389","20,44538326","26,0600931","42,51497928","2064,778756","0,0006098092168","0,2258064516","17,80736386",,,,0
virus cmv,"0,1093205072","20,38845619","26,38845619","44,79801704","3340,779274","0,0006969248192","0,3333333333","18,00000782",,,,0
nụ hôn,"-0,0004356083685","23,6514906","23,6514906","16,39396402","727,5517564","0,0000871156024","0,25","15,00006281",,,,0
trường đại_học,"0,2219995294","21,29159465","24,46151965","29,5164176","1112,736388","0,0002613468072","0,1578947368","16,5849834",,,,0
đại_học george,"-0,001742456242","21,6514906","21,6514906","15,00766966","4201,716095","0,0000871156024","0,05263157895","15,00006272",,,,0
khuyến_cáo phụ_nữ,"-0,00435778365","18,67421067","18,67421067","12,94397648","1484,339443","0,0000871156024","0,02272727273","15,00006256",,,,0
hại sức_khoẻ,"-0,002700811348","21,01922238","21,01922238","14,56941473","727,5517564","0,0000871156024","0,03333333333","15,00006266",,,,0
thai_nhi cytomegalovirus,"-0,0008712774501","22,21853119","22,21853119","15,40071225","1817,449779","0,0000871156024","0,125","15,00006278",,,,0
nhiệt miệng,"-0,0002613619855","24,38845619","24,38845619","16,90478965","727,5517564","0,0000871156024","0,5","15,00006282",,,,1
nghiên_cứu công_bố,"-0,007060294963","17,7446","17,7446","12,29961946","30595,65845","0,0000871156024","0,01351351351","15,00006239",,,,0
tích_tụ mảng,"-0,0008713153957","21,97341869","21,97341869","15,23081321","1647,253392","0,0000871156024","0,1428571429","15,00006278",,,,0
